uid,nickname,time,star,comment
125741528713971778,留***o,2020-09-22 15:29:39,5,唉呀妈呀，针不戳，我老婆真好看。配送服务：速度还是很快的
-81071929291114118,矗***馫,2020-09-21 17:20:34,5,质量很好
234792984470723973,****4,2020-09-21 13:44:40,5,很好值得购买
449381862692065426,****z,2020-09-17 11:54:52,5,不错,就是包装不怎么好其他的还可以,没有什么大瑕疵,小的几乎不仔细看也看不出来
227090052434865683,温***肠,2020-09-14 19:26:13,5,此用户未填写评价内容
227090052434865683,温***肠,2020-09-14 19:24:27,5,还行，就是帽子有点脏
244330726240273039,****C,2020-09-13 21:23:48,5,此用户未填写评价内容
855388543540232798,****t,2020-09-08 16:21:36,5,手办回来不错，样式精美，值得拥有，鼎力推荐。
801520811041873126,钮***一,2020-09-06 14:22:02,5,总体还行，瑕疵在能忍受的范围内
486489717865188442,****9,2020-08-29 17:25:46,5,此用户未填写评价内容
-24419168450046867,****U,2020-08-29 11:06:42,5,好东西，做工精美，商家很用心
355598761679343740,****3,2020-08-29 09:42:14,5,可以可以，朋友很喜欢
551346402590389024,****R,2020-08-28 12:28:59,4,盘子上空的，没有茶杯
-26364315412396959,桔***7,2020-08-28 06:20:06,5,不错?，我儿子很喜欢。
355598761679343740,****3,2020-08-27 20:50:58,5,基本没有瑕疵，也没有拙劣塑料感，性价比超高
-17643206314476237,3***8,2020-08-26 21:17:17,5,老婆赛高！这个价位很不错了。就是刘海有点高，长的不太像雷姆？
597766230164492684,R***s,2020-08-24 08:46:26,5,只要脸不崩就是好的，就是包装太简陋 不慎就容易摔坏
768224174695081125,王***6,2020-08-22 11:31:59,5,收到了，质量非常不错滴
-65131593984763343,s***n,2020-08-19 21:31:10,5,服务态度好，物流效率高。
764964603101518060,****侠,2020-08-15 23:33:54,5,质量挺好的，没有辜负我的期待
-76995599846941974,蜗***7,2020-08-15 20:55:37,5,其他都还好，拆开包装盒里面竟然有一只小蟑螂，还带花纹，确认不是本地蟑螂，还好没直接寄给朋友，不然就尴尬了
798808368116668400,j***r,2020-08-12 10:15:51,5,做工一般，鞋带都是开的。
489598403640460866,****6,2020-08-09 19:23:10,5,物流很快，在这个价位有点小瑕疵也能接受了就是小茶壶放不稳还要自己拿胶水粘一下（个人理解）
-48785768017177758,****D,2020-08-06 19:10:23,5,好看，这是我唯一没有失望过得手办了
261265075973082921,****T,2020-08-06 12:30:05,4,虽然比爷想象中的要大一点，裙边颜色与图中不太符合，爷也把各方位模型图样都拍下来了，给你们参考。别??适用场景：家里。。。。。售后服务：。。。配送服务：。。。适用人群：宅男风格款式：新颖
520947438223897939,Z***m,2020-08-06 09:11:05,5,非常好，基本没有瑕疵。很不错的手办
345599994637707785,姜***樂,2020-08-05 13:20:01,5,男朋友应该是很喜欢的
685189108855971008,****8,2020-08-03 12:06:36,5,风格款式：好
-68509527988740992,K***B,2020-08-01 15:19:06,5,速度很快
319770644483511923,****n,2020-07-30 15:14:21,5,小朋友好喜欢
846133189843379373,****o,2020-07-28 14:19:09,5,很好看
489598403640460866,****6,2020-07-28 10:57:11,5,一百个好评！没想到国产也能有这种做工，不近看几乎无瑕疵，店家还送了海报
-44353768216586490,星***呐,2020-07-25 18:59:03,5,此用户未填写评价内容
-44353768216586490,星***呐,2020-07-25 18:58:50,5,此用户未填写评价内容
-10411172890749421,竹***妮,2020-07-24 21:49:25,5,还行。孩子很喜欢。
839491038868781300,****f,2020-07-22 21:09:03,4,很好呢茶杯那些很精致
-71141292630556004,过***鱼,2020-07-20 15:52:40,5,超级好看的嗷，而且物流也很快嗷?
-14802338569959777,凡***9,2020-07-18 20:58:45,5,国产里算是比较好的了，女儿非常开心，这个最重要。整体检查过，没有什么瑕疵，还是不错的。
750380933100515035,****8,2020-07-16 17:14:10,5,哈哈哈，好好好
489598403640460866,****6,2020-07-14 12:24:29,5,蕾姆蕾姆！
637041876489416828,****c,2020-07-02 19:10:20,5,就很棒（底盘稍微有点难插）
-12543940051094930,凉***5,2020-06-29 11:38:28,5,?p这质量
174801379383197936,t***d,2020-06-26 16:40:27,5,很好
864377994210839027,****i,2020-06-25 16:10:22,5,很喜欢
-83049005940598447,****l,2020-06-24 18:45:56,5,还可以
-28999526514440681,****k,2020-06-22 13:04:32,5,搞不懂，自己看吧，放那看也行的
-28999526514440681,****k,2020-06-22 13:03:37,5,搞不懂这方面，自己看吧
637041876489416828,****c,2020-06-21 20:32:33,5,此用户未填写评价内容
780288160839662465,w***T,2020-06-19 14:59:52,5,特别可以，没想到会有这么便宜这么好的货，满意，还会再来的
-13964612681050268,I***灵,2020-06-18 17:11:45,5,不错不错(*?&acute;╰╯`?)?，基本上没有瑕疵，棒棒哒
896376031678986894,e***E,2020-06-14 16:39:24,5,如果真爱有颜色一定是蓝色！我吹爆
740514234877630827,比***学,2020-06-14 15:19:41,5,还好吧，质量再好点就行了
637041876489416828,****c,2020-06-11 20:49:05,5,挺好的 就是没有送海报
-22574714886988861,想***办,2020-06-11 08:43:58,5,适用场景：放家里挺好。
-12121968333359656,k***E,2020-06-07 20:33:02,5,配送服务：很快风格款式：很可爱
-31938099410149209,灿***L,2020-06-05 10:16:19,5,很好玩的一款，很不错哦，比较喜欢，赞一个，下次还会再选
731443616117481123,T***U,2020-06-03 11:43:01,5,底座都扣不紧，装上一下就倒了。
286683070061744880,曦***河,2020-05-23 12:34:31,5,虽然包装不是很好，但不得不说东西是真的好
-16090609692732206,绿***客,2020-05-23 02:34:12,5,此用户未填写评价内容
-21864797262938000,****5,2020-05-19 22:26:30,5,好看，就是插着感觉有点歪，看起不舒服，但问题不大。
795920482590944430,F***m,2020-05-11 01:02:01,5,有点小瑕疵但是不影响观赏，都是到货了盒子直接废了对于我这种完美主义者不怎么友好，但是这个价格买到这个品质已经很好了，国产也还是可以的，希望国产越来越好，放心买吧。对了一定要发顺丰，叫客服放填充物。
-68200487712557898,R***Y,2020-05-10 19:13:06,5,好看，送人一点也不丢脸
489598403640460866,****6,2020-05-10 13:20:09,5,很漂亮，很喜欢，非常好
234792984470723973,****4,2020-05-09 16:57:39,5,风格款式：喜欢
105660164940652572,****d,2020-05-06 21:27:24,5,物流速度一般，但是商品真的不错。虽然说有点小瑕疵，衣服串色什么的，但是不近看看不出来的。海报挺可爱，还送了502，好评，相对于这个价位来说
-35122575179208923,****g,2020-05-06 19:47:27,5,此用户未填写评价内容
142819976378823040,****0,2020-05-06 15:33:53,5,适用人群：较好！适用场景：较好！风格款式：好！！
-87471029815363009,****5,2020-05-05 18:17:51,5,东西有点瑕疵，还行吧
-77816672711820225,清***伴,2020-05-05 14:42:31,4,还行
-48325803673309322,****W,2020-05-03 16:22:17,5,漂亮极了
178096027137801098,r***q,2020-04-29 20:21:10,5,蕾姆真的做的很好?，下次一定也从店里买
-80134718291477213,****x,2020-04-29 17:14:09,5,我朋友很喜欢
178872995942707428,鲸***Q,2020-04-27 23:15:46,5,送的生日礼物，很好，质量OK推荐购买
-56852236789989322,丁***雅,2020-04-22 18:49:51,5,可以的
-90071054420710347,****y,2020-04-22 14:45:20,5,放在桌子上还不错。不贴脸看是看不出瑕疵的。很好。
-57159891455028792,是***呀,2020-04-21 19:50:28,4,挺好的，就是脸稍微有一点点瑕疵，毕竟是国产货嘛，还可以还有一点就是物流太慢了呀！
234792984470723973,****4,2020-04-19 21:42:04,5,配送服务：配送很快，收到也很喜欢
233245968702830246,****1,2020-04-19 18:38:33,5,特别棒，同价位无敌爱了爱了
355598761679343740,****3,2020-04-16 18:07:25,5,还不错，这个价位，就是送的海拔太拉胯了，总的来说非常好
869768194259233450,金***l,2020-04-14 19:02:37,5,价格刚刚好，发货很快，昨天下午买的，今天早上就到了，做活动买的很划算，经常做活动，比在实体店买的还便宜，以后做活动了还要继续买
489598403640460866,****6,2020-04-11 01:01:27,5,就是有一点点损坏，其他都还好。
-83049005940598447,****l,2020-04-09 02:03:13,5,风格款式：炒鸡喜欢
190591651306494052,****e,2020-04-08 19:39:08,5,买来送给朋友的~她说超级棒！！
594306782151383168,****P,2020-04-08 17:04:28,5,整体外观可以，就是有点窜色
34543804098025343,l***子,2020-04-07 12:21:29,5,美
-57795563596713949,憨***瘦,2020-04-06 21:19:54,5,我收到的脚上有一点点瑕疵 但是总体不错 值得购买
479038588116162366,Z***下,2020-04-05 22:35:27,5,这个价位算是挺不错的，胸口处有点染红。
756077381121527929,****p,2020-04-05 13:37:18,5,快递速度非常快，4月1号晚上下的单，4月3号下午就到了。而且店家的包装很用心，还赠送了一叠海报和一张明信片，朋友也表示非常喜欢。
477123113934027639,龢***禰,2020-04-04 20:34:09,5,还行，毕竟不贵╮(￣▽￣)╭
190591651306494052,****e,2020-04-02 19:02:32,5,很好就完事了 客服态度也非常好
472670187216486010,****j,2020-03-30 18:57:32,5,这个价位，可以说是还不错了。没什么太大问题，就是脖子有点长，，腿关节做的不是很好。总的来说挺不错的(*?&acute;╰╯`?)?
-18228391512479450,l***1,2020-03-29 13:55:35,5,适用人群：阿宅
319770644483511923,****n,2020-03-29 12:01:34,5,歪瑞古德，瑕疵少，好看，质量是真的好
438162316407656502,雪***城,2020-03-27 11:33:48,5,质量很好（小瑕疵肯定还是有的，但是对得起这个价位，已经物超所值了。），就是头部有点松，希望店家下次改进。店家送的海报也很精美，还配送了502强力胶，好心的店家。这次购物我很满意，以后还会回购的。希望店家能把手办越做越好。
668740477186497710,h***l,2020-03-26 23:16:53,5,第一次买国货，品质不错还是很良心的
-89768149727956243,丸***丫,2020-03-26 14:40:39,5,诶嘿嘿嘿 送闺蜜的。她一定喜欢。
-78780816641656884,****2,2020-03-24 15:09:50,5,有啥说啥，商家服务非常好，手办做工特别精细，送来的时候周围有泡沫包裹，非常用心，以后还来买我#不是托
-47206643531914468,t***8,2020-03-21 01:12:54,5,好好好 好好  满意
486489717865188442,****9,2019-10-12 16:34:01,4,此用户未填写评价内容
-50954604677219848,****3,2019-05-23 18:23:25,5,胸前那块拿不下来....大家不要冲着这一点去了总体做工不错好评
573152589066726359,阳***7,2019-09-20 11:24:24,5,买来送给朋友的，其实还是挺不错的，质量也很好，朋友很喜欢
-31404145080475073,二***家,2019-08-26 14:20:30,5,价格便宜，本来以为东西不会很好，但看到实物后还是比较满意的。
-86250066677876239,神***怪,2020-02-29 17:43:32,5,虽然包装有些折痕，但手办质量还是不错的就是头发颜色有点浅，望改进
289662335718633738,****8,2018-07-07 19:32:57,5,真的没想到国产做工这么好！！真的可以了如果硬要说缺点 只能说手办有点偏小
839491038868781300,****f,2019-09-07 16:20:40,5,包装完整，快递给力，宝贝挺好漂亮，小孩非常喜欢，很满意。
-24419168450046867,****U,2020-08-29 11:06:42,5,好东西，做工精美，商家很用心
-28999526514440681,****k,2020-11-12 21:19:50,4,外观漂亮，外表还算坚固，应该耐用
27895531321060225,天***星,2019-08-05 18:00:59,5,看评论说胸前的衣服能取掉，没想到是真的
426680400925383077,****a,2019-09-20 18:07:58,5,整体来说还是蛮好看的，配送速度也很快，态度也很好
858670253817006107,g***0,2019-11-02 10:29:44,5,还不错挺好的呢还不错
-83049005940598447,****l,2019-12-25 16:02:06,5,朋友很喜欢哦，好评(o^^o)
499587898697557934,****h,2019-09-30 15:44:47,5,发货速度很快，虽然有点小瑕疵但还是很好的?
489598403640460866,****6,2019-10-07 13:55:42,5,物流很快，做工也很好，还送海报推荐大家入手
740279178646094123,司***-,2019-10-26 15:26:56,5,不是很贵，但是质量很好，可以考虑入手
637041876489416828,****c,2020-07-02 19:10:20,5,就很棒（底盘稍微有点难插）
-27481723518074578,****t,2019-06-30 11:50:47,5,除了背后上色有点小瑕疵之外，其余一切还好，还原度也很高
534160047084802394,Y***_,2019-09-09 08:27:54,5,看起来还不错，这个价格能买到这样的很不错了
-67985381105981407,****b,2018-08-13 18:03:21,5,哎，就是头上那一长条是啥，其他的都挺好，。
486489717865188442,****9,2019-09-28 19:18:39,5,还是挺漂亮的?99元又为我填了个老婆
